Date,Month,Year,NAV,Amount_Invested,Units_Bought,,Date,occurances,total units,Avg_Units_Per_Occurrence
27,7,2022,48.6198,1000,20.5678,,,,,
28,7,2022,49.6669,1000,20.1341,,,,,
29,7,2022,49.9775,1000,20.009,,,,,
1,8,2022,50.6558,1000,19.7411,,,,,
2,8,2022,50.6442,1000,19.7456,,,,,
3,8,2022,50.5703,1000,19.7745,,,,,
4,8,2022,50.8873,1000,19.6513,,,,,
5,8,2022,50.9908,1000,19.6114,,,,,
8,8,2022,51.2029,1000,19.5301,,,,,
10,8,2022,51.2162,1000,19.5251,,,,,
11,8,2022,51.8196,1000,19.2977,,,,,
12,8,2022,51.8644,1000,19.281,,,,,
16,8,2022,52.368,1000,19.0956,,,,,
17,8,2022,52.7112,1000,18.9713,,,,,
18,8,2022,52.6126,1000,19.0069,,,,,
19,8,2022,52.2012,1000,19.1566,,,,,
22,8,2022,51.438,1000,19.4409,,,,,
23,8,2022,51.3001,1000,19.4931,,,,,
24,8,2022,51.3688,1000,19.4671,,,,,
25,8,2022,51.2292,1000,19.5201,,,,,
26,8,2022,51.5554,1000,19.3966,,,,,
29,8,2022,50.7145,1000,19.7182,,,,,
30,8,2022,51.3263,1000,19.4832,,,,,
1,9,2022,51.1309,1000,19.5576,,,,,
2,9,2022,51.1622,1000,19.5457,,,,,
5,9,2022,51.3348,1000,19.48,,,,,
6,9,2022,51.4646,1000,19.4308,,,,,
7,9,2022,51.377,1000,19.464,,,,,
8,9,2022,52.2687,1000,19.1319,,,,,
9,9,2022,52.4691,1000,19.0588,,,,,
12,9,2022,52.8258,1000,18.9301,,,,,
13,9,2022,53.1433,1000,18.817,,,,,
14,9,2022,52.7911,1000,18.9426,,,,,
15,9,2022,52.7059,1000,18.9732,,,,,
16,9,2022,51.7146,1000,19.3369,,,,,
19,9,2022,51.7473,1000,19.3247,,,,,
20,9,2022,52.308,1000,19.1175,,,,,
21,9,2022,51.9906,1000,19.2342,,,,,
22,9,2022,51.6029,1000,19.3788,,,,,
23,9,2022,50.996,1000,19.6094,,,,,
26,9,2022,50.1478,1000,19.9411,,,,,
27,9,2022,49.9832,1000,20.0067,,,,,
28,9,2022,49.5671,1000,20.1747,,,,,
