Date,month,year,NAV,Amount_Invested,Units_Bought,,Day_of_Month,Occurrences,Total_Units_Bought,Avg_Units_Per_Occurrence
10,4,2024,147.9301,2000,13.5199,,,,,
12,4,2024,147.2647,2000,13.581,,,,,
15,4,2024,145.4838,2000,13.7472,,,,,
16,4,2024,146.0726,2000,13.6918,,,,,
18,4,2024,146.2187,2000,13.6781,,,,,
19,4,2024,146.4296,2000,13.6584,,,,,
22,4,2024,148.6977,2000,13.4501,,,,,
23,4,2024,149.9781,2000,13.3353,,,,,
24,4,2024,150.8558,2000,13.2577,,,,,
25,4,2024,152.2396,2000,13.1372,,,,,
26,4,2024,153.0103,2000,13.071,,,,,
29,4,2024,153.6303,2000,13.0183,,,,,
30,4,2024,154.3008,2000,12.9617,,,,,
2,5,2024,154.9645,2000,12.9062,,,,,
3,5,2024,154.0879,2000,12.9796,,,,,
6,5,2024,152.6317,2000,13.1034,,,,,
7,5,2024,150.7162,2000,13.27,,,,,
8,5,2024,151.6701,2000,13.1865,,,,,
9,5,2024,148.3951,2000,13.4775,,,,,
10,5,2024,149.4332,2000,13.3839,,,,,
13,5,2024,149.5538,2000,13.3731,,,,,
14,5,2024,151.8998,2000,13.1666,,,,,
15,5,2024,153.9042,2000,12.9951,,,,,
16,5,2024,156.0388,2000,12.8173,,,,,
17,5,2024,157.8758,2000,12.6682,,,,,
21,5,2024,158.1515,2000,12.6461,,,,,
22,5,2024,158.4567,2000,12.6217,,,,,
23,5,2024,158.8619,2000,12.5896,,,,,
24,5,2024,159.0514,2000,12.5746,,,,,
27,5,2024,158.6232,2000,12.6085,,,,,
28,5,2024,157.2219,2000,12.7209,,,,,
29,5,2024,157.0454,2000,12.7352,,,,,
30,5,2024,155.6176,2000,12.852,,,,,
31,5,2024,156.2529,2000,12.7998,,,,,
3,6,2024,159.591,2000,12.532,,,,,
4,6,2024,148.5354,2000,13.4648,,,,,
5,6,2024,152.9679,2000,13.0746,,,,,
6,6,2024,157.1096,2000,12.73,,,,,
7,6,2024,160.432,2000,12.4663,,,,,
10,6,2024,162.0128,2000,12.3447,,,,,
11,6,2024,163.5781,2000,12.2266,,,,,
12,6,2024,165.2095,2000,12.1058,,,,,
13,6,2024,166.5515,2000,12.0083,,,,,
14,6,2024,167.9978,2000,11.9049,,,,,
18,6,2024,169.6365,2000,11.7899,,,,,
19,6,2024,168.5444,2000,11.8663,,,,,
20,6,2024,169.0149,2000,11.8333,,,,,
21,6,2024,168.6822,2000,11.8566,,,,,
24,6,2024,169.4259,2000,11.8046,,,,,
25,6,2024,169.2716,2000,11.8153,,,,,
26,6,2024,169.6483,2000,11.7891,,,,,
27,6,2024,168.9286,2000,11.8393,,,,,
28,6,2024,169.7002,2000,11.7855,,,,,
1,7,2024,172.6532,2000,11.5839,,,,,
2,7,2024,172.8804,2000,11.5687,,,,,
3,7,2024,174.5421,2000,11.4586,,,,,
4,7,2024,175.599,2000,11.3896,,,,,
5,7,2024,176.2196,2000,11.3495,,,,,
8,7,2024,176.0205,2000,11.3623,,,,,
9,7,2024,176.1341,2000,11.355,,,,,
10,7,2024,175.0638,2000,11.4244,,,,,
11,7,2024,175.9041,2000,11.3698,,,,,
12,7,2024,175.6884,2000,11.3838,,,,,
15,7,2024,176.0108,2000,11.3629,,,,,
16,7,2024,176.4033,2000,11.3377,,,,,
18,7,2024,175.1319,2000,11.42,,,,,
19,7,2024,171.5659,2000,11.6573,,,,,
22,7,2024,172.7835,2000,11.5752,,,,,
23,7,2024,172.4821,2000,11.5954,,,,,
24,7,2024,174.9278,2000,11.4333,,,,,
25,7,2024,175.2534,2000,11.412,,,,,
26,7,2024,177.0504,2000,11.2962,,,,,
29,7,2024,179.069,2000,11.1689,,,,,
30,7,2024,180.0246,2000,11.1096,,,,,
31,7,2024,180.0262,2000,11.1095,,,,,
